name,number,year,fuel,power,transmission,passengers,length,url
"Mercedes-Benz 516 CDI Sprinter Tourline, 16 pass",2011,2018,Diesel,120,Automat,16+1,7.35,https://www.busscenter.se/sv-SE/2011-41281888
"Mercedes-Benz 519 CDI Sprinter Businessline L, 16+1 pass",2005,2018,Diesel,140,Automat,16+1,7.75,https://www.busscenter.se/sv-SE/2005-40998627
"Mercedes-Benz 516 CDI Sprinter U Ecoline HK, 19 pass",2006,2018,Diesel,120,Automat,19,7.35,https://www.busscenter.se/sv-SE/2006-41049775
"Mercedes-Benz 516 CDI Sprinter Tourline L, 22 pass",2002,2018,Diesel,120,Automat,22,7.75,https://www.busscenter.se/sv-SE/2002-40978243
"Iveco First Tourline LHK, 27+1 pass",2003,2018,Diesel,132,Automat,27+1,"8,46",https://www.busscenter.se/sv-SE/2003-40978310
"Mercedes-Benz 516 CDI Sprinter Cityline, 18+4 pass",2001,2018,Diesel,120,Automat,18+4,7.75,https://www.busscenter.se/sv-SE/2001-40978176
"Mercedes-Benz 516 CDI Sprinter Cityline, 18+4 pass",2000,2018,Diesel,120,Automat,18-4,7.75,https://www.busscenter.se/sv-SE/2000-40977972
"Mercedes-Benz 516 CDI Sprinter Cityline, 16+6 pass",1999,2016,Diesel,120,Automat,16+6,7.35,https://www.busscenter.se/sv-SE/1999-40977912
"Mercedes-Benz 519 CDI Sprinter Multiline, 19 pass",1995,2018,Diesel,120,Automat,19,7.35,https://www.busscenter.se/sv-SE/1995-40401640
"MB 516 CDI Sprinter Ecoline L HK, 15 pass",2018,2018,Diesel,120,Automat,15,7.76,https://www.busscenter.se/sv-SE/1992-40272428
"MB 516 CDI Sprinter Ecoline HK, 19 pass",1991,2018,Diesel,120,Automat,19,7.35,https://www.busscenter.se/sv-SE/1991-40272406
"MB 516 CDI Sprinter Ecoline HK, 19 pass",1986,2018,Diesel,120,Automat,19,7.35,https://www.busscenter.se/sv-SE/1990-40272361
"MB 516 CDI Sprinter Ecoline HK, 19 pass",1989,2018,Diesel,120,Automat,19,7.35,https://www.busscenter.se/sv-SE/1989-40272322
"MB 516 CDI Sprinter Ecoline L, 22 pass",1977,2018,Diesel,120,Automat,22,7.75,https://www.busscenter.se/sv-SE/1988-40272279
"MB 516 CDI Sprinter Ecoline L, 22 pass",1987,2018,Diesel,120,Automat,22,7.75,https://www.busscenter.se/sv-SE/1987-40272260
"MB 516 CDI Sprinter Ecoline HK, 19 pass",1982,2018,Diesel,120,Automat,19,7.35,https://www.busscenter.se/sv-SE/1986-40272017
"MB 516 CDI Sprinter Ecoline HK, 19 pass",1985,2018,Diesel,120,Automat,19,7.35,https://www.busscenter.se/sv-SE/1985-40271998
"MB 516 CDI Sprinter Ecoline HK, 19 pass",1984,2018,Diesel,120,Automat,19,7.35,https://www.busscenter.se/sv-SE/1984-40271979
